Contrast,Method,Lipid_Class,Sig.Level,Tentative_Lipid_ID,logFC,t,P.Value,adj.P.Val,B,Sig.Level,MetaboAnalysisDate,ExclusionVersion,AveExpr
MIX,3,TG,<0.1,"[TG(51:8),TG(50:1)]_FA18:1",0.3211,2.0319,0.044,0.086,-3.7555,<0.1,12524,E2,4.09E-17
MIX,3,TG,<0.1,"[TG(51:9),TG(50:2)]_FA16:0",0.28648,1.8143,0.072,0.086,-4.064,<0.1,12524,E2,-8.50E-18
MIX,3,TG,<0.1,"[TG(51:9),TG(50:2)]_FA16:1",0.30509,1.945,0.054,0.086,-3.8826,<0.1,12524,E2,5.29E-17
MIX,3,TG,<0.1,"[TG(51:9),TG(50:2)]_FA18:1",0.30276,1.9501,0.053,0.086,-3.8753,<0.1,12524,E2,-2.73E-18
MIX,3,TG,<0.1,"[TG(51:9),TG(50:2)]_FA18:2",0.27769,1.6786,0.095,0.100,-4.2396,<0.1,12524,E2,3.81E-17
MIX,3,TG,<0.1,[TG(52:4)]_FA18:2,0.31533,1.962,0.052,0.086,-3.8582,<0.1,12524,E2,-2.35E-18
MIX,3,TG,<0.1,[TG(52:5)]_FA20:4,0.42389,2.5275,0.013,0.086,-2.9328,<0.1,12524,E2,3.55E-17
MIX,3,TG,<0.1,"[TG(53:10),TG(52:3)]_FA18:1",0.31385,2.0459,0.042,0.086,-3.7345,<0.1,12524,E2,4.14E-17
MIX,3,TG,<0.1,"[TG(53:9),TG(52:2)]_FA18:1",0.32699,2.1164,0.036,0.086,-3.6269,<0.1,12524,E2,1.41E-17
MIX,3,TG,<0.1,[TG(54:5)]_FA18:1,0.34007,2.1177,0.036,0.086,-3.6249,<0.1,12524,E2,5.03E-17
MIX,3,TG,<0.1,"[TG(56:7),TG(55:0)]_FA22:6",0.50135,2.307,0.022,0.086,-3.3191,<0.1,12524,E2,-1.46E-16
PFHxA,1,LPC,NA,"LPC(16:1),LPC(P-17:0)",NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPC,NA,"LPC(17:1),LPC(O-18:1),LPC(P-18:0)",NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPC,NA,LPC(19:3),NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPC,NA,"LPC(20:2),PC(O-20:2)",NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPC,NA,LPC(20:3),NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPC,NA,LPC(22:4),NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPC,NA,LPC(22:5),NA,NA,NA,NA,NA,NA,NA,EB,NA
